Drug_A;Drug_B;Level
Acarbose;Triamcinolone (ophthalmic);Moderate
Acarbose;Triamcinolone (topical);Minor
Acarbose;Alimemazine;Moderate
Lidocaine;Acebutolol;Moderate
Adalimumab;Lidocaine;Moderate
Lidocaine;Albendazole;Minor
Alefacept;Lidocaine;Moderate
Lidocaine;Alfentanil;Minor
Lidocaine;Alprazolam;Moderate
Lidocaine;Amifampridine;Moderate
Lidocaine;Amikacin;Minor
Lidocaine;Amikacin (liposome);Minor
Lidocaine;Aminoglutethimide;Minor
Lidocaine;Amiodarone;Moderate
Lidocaine;Amobarbital;Minor
Lidocaine;Amprenavir;Major
Anagrelide;Lidocaine;Moderate
Anakinra;Lidocaine;Moderate
Lidocaine;Apalutamide;Minor
Lidocaine;Aprepitant;Moderate
Lidocaine;Arbutamine;Major
Lidocaine;Armodafinil;Minor
Lidocaine;Atazanavir;Moderate
Lidocaine;Atenolol;Moderate
Lidocaine;Atracurium;Moderate
Lidocaine;Oxybuprocaine (ophthalmic);Moderate
Lidocaine;Benzocaine (topical);Moderate
Betaxolol;Lidocaine;Moderate
Lidocaine;Bexarotene;Minor
Lidocaine;Bisoprolol;Moderate
Lidocaine;Boceprevir;Moderate
Lidocaine;Bosentan;Minor
Lidocaine;Bretylium;Moderate
Lidocaine;Bupivacaine (liposome);Major
Lidocaine;Bupropion;Major
Butabarbital;Lidocaine;Minor
Butalbital;Lidocaine;Minor
Lidocaine;Canakinumab;Moderate
Lidocaine;Capmatinib;Moderate
Lidocaine;Carbamazepine;Minor
Lidocaine;Carteolol;Moderate
Lidocaine;Carvedilol;Moderate
Lidocaine;Cenobamate;Minor
Lidocaine;Ceritinib;Moderate
Lidocaine;Certolizumab pegol;Moderate
Lidocaine;Chlordiazepoxide;Moderate
Lidocaine;Cimetidine;Moderate
Lidocaine;Cisatracurium;Moderate
Lidocaine;Clobazam;Moderate
Lidocaine;Clonazepam;Moderate
Lidocaine;Clonidine;Minor
Lidocaine;Clorazepic acid;Moderate
Lidocaine;Cobicistat;Moderate
Lidocaine;Cocaine (nasal);Moderate
Lidocaine;Cocaine (topical);Moderate
Lidocaine;Conivaptan;Major
Lidocaine;Dabrafenib;Minor
Lidocaine;Darunavir;Moderate
Lidocaine;Dasatinib;Moderate
Lidocaine;Deferasirox;Minor
Lidocaine;Delavirdine;Moderate
Lidocaine;Dexamethasone;Minor
Lidocaine;Diazepam;Moderate
Lidocaine;Cinchocaine (topical);Moderate
Lidocaine;Diltiazem;Moderate
Disopyramide;Lidocaine;Moderate
Dofetilide;Lidocaine;Major
Lidocaine;Dopamine;Minor
Lidocaine;Doxacurium;Moderate
Lidocaine;Doxorubicin;Minor
Lidocaine;Doxorubicin (liposomal);Minor
Lidocaine;Dronedarone;Moderate
Lidocaine;Duvelisib;Moderate
Lidocaine;Echinacea;Moderate
Lidocaine;Efavirenz;Minor
Lidocaine;Elagolix;Minor
Lidocaine;Emapalumab;Moderate
Lidocaine;Enzalutamide;Minor
Esmolol;Lidocaine;Moderate
Lidocaine;Estazolam;Moderate
Etanercept;Lidocaine;Moderate
Lidocaine;Ethotoin;Minor
Lidocaine;Etravirine;Moderate
Lidocaine;Felbamate;Minor
Fluconazole;Lidocaine;Moderate
Lidocaine;Fluphenazine;Moderate
Lidocaine;Flurazepam;Moderate
Fluvoxamine;Lidocaine;Moderate
Lidocaine;Fosamprenavir;Major
Lidocaine;Fosaprepitant;Moderate
Lidocaine;Fosphenytoin;Minor
Lidocaine;Fostamatinib;Moderate
Lidocaine;Gentamicin;Minor
Lidocaine;Ginkgo biloba;Moderate
Lidocaine;Givosiran;Moderate
Lidocaine;Golimumab;Moderate
Lidocaine;Griseofulvin;Minor
Lidocaine;Guselkumab;Moderate
Lidocaine;Halazepam;Moderate
Lidocaine;Hyaluronidase;Minor
Lidocaine;Ibutilide;Moderate
Lidocaine;Idelalisib;Moderate
Lidocaine;Imatinib;Moderate
Indinavir;Lidocaine;Moderate
Lidocaine;Indium In-111 oxyquinoline;Moderate
Infliximab;Lidocaine;Moderate
Lidocaine;Iohexol;Major
Lidocaine;Iopamidol;Major
Lidocaine;Itraconazole;Moderate
Lidocaine;Ivacaftor;Moderate
Lidocaine;Ivosidenib;Minor
Lidocaine;Ixekizumab;Moderate
Lidocaine;Kanamycin;Minor
Lidocaine;Labetalol;Moderate
Lidocaine;Lacosamide;Moderate
Lidocaine;Lanreotide;Moderate
Lidocaine;Lapatinib;Moderate
Lidocaine;Larotrectinib;Moderate
Lidocaine;Lefamulin;Moderate
Lidocaine;Lemborexant;Moderate
Lidocaine;Lindane;Moderate
Lidocaine;Lonafarnib;Moderate
Lorazepam;Lidocaine;Moderate
Lidocaine;Lorlatinib;Minor
Lidocaine;Lusutrombopag;Moderate
Lidocaine;Mefloquine;Moderate
Lidocaine;Mephenytoin;Minor
Lidocaine;Methylphenobarbital;Minor
Lidocaine;Metocurine;Moderate
Metoprolol;Lidocaine;Moderate
Lidocaine;Mexiletine;Moderate
Lidocaine;Midazolam;Moderate
Lidocaine;Mifepristone;Moderate
Lidocaine;Mitotane;Minor
Lidocaine;Mivacurium;Moderate
Lidocaine;Modafinil;Minor
Lidocaine;Morphine (liposomal);Moderate
Lidocaine;Nadolol;Moderate
Lidocaine;Nafcillin;Minor
Lidocaine;Nebivolol;Moderate
Lidocaine;Nefazodone;Moderate
Nelfinavir;Lidocaine;Moderate
Lidocaine;Neomycin;Minor
Lidocaine;Netilmicin;Minor
Nevirapine;Lidocaine;Minor
Lidocaine;Nitazoxanide;Moderate
Lidocaine;Obeticholic acid;Moderate
Octreotide;Lidocaine;Moderate
Lidocaine;Olaparib;Moderate
Lidocaine;Omeprazole;Minor
Lidocaine;Osilodrostat;Moderate
Lidocaine;Osimertinib;Minor
Lidocaine;Oxazepam;Moderate
Lidocaine;Oxcarbazepine;Minor
Lidocaine;Pancuronium;Moderate
Lidocaine;Pasireotide;Moderate
Lidocaine;Penbutolol;Moderate
Lidocaine;Pentobarbital;Minor
Lidocaine;Pexidartinib;Minor
Lidocaine;Phenobarbital;Minor
Lidocaine;Phenylbutazone;Minor
Phenytoin;Lidocaine;Minor
Lidocaine;Pindolol;Moderate
Lidocaine;Pipecuronium;Moderate
Lidocaine;Plazomicin;Minor
Lidocaine;Polyethylene glycol (3350 with electrolytes);Moderate
Lidocaine;Posaconazole;Moderate
Lidocaine;Prilocaine;Major
Lidocaine;Primidone;Minor
Lidocaine;Procainamide;Moderate
Lidocaine;Propafenone;Minor
Lidocaine;Proparacaine (ophthalmic);Moderate
Lidocaine;Propranolol;Moderate
Lidocaine;Quazepam;Moderate
Lidocaine;Raloxifene;Minor
Lidocaine;Rapacuronium;Moderate
Lidocaine;Remimazolam;Moderate
Lidocaine;Rifabutin;Minor
Lidocaine;Rifampicin;Minor
Lidocaine;Rifapentine;Minor
Lidocaine;Rilonacept;Moderate
Lidocaine;Ritonavir;Moderate
Lidocaine;Rocuronium;Moderate
Lidocaine;Ropivacaine;Moderate
Lidocaine;Rucaparib;Moderate
Lidocaine;Rufinamide;Minor
Lidocaine;Saquinavir;Major
Lidocaine;Sarilumab;Moderate
Lidocaine;Satralizumab;Moderate
Lidocaine;Secobarbital;Minor
Lidocaine;Secukinumab;Moderate
Lidocaine;Selpercatinib;Moderate
Lidocaine;Siltuximab;Moderate
Lidocaine;Sirolimus;Moderate
Lidocaine;Nitrous acid;Major
Lidocaine;Somapacitan;Minor
Lidocaine;Somatrem;Minor
Somatotropin;Lidocaine;Minor
Lidocaine;Sotalol;Moderate
Lidocaine;St. John's Wort;Minor
Lidocaine;Stiripentol;Moderate
Lidocaine;Streptomycin;Minor
Succinylcholine;Lidocaine;Moderate
Lidocaine;Sulfinpyrazone;Minor
Lidocaine;Tacrolimus;Moderate
Lidocaine;Tazemetostat;Minor
Lidocaine;Telaprevir;Moderate
Lidocaine;Telithromycin;Moderate
Temazepam;Lidocaine;Moderate
Lidocaine;Temsirolimus;Moderate
Lidocaine;Teriflunomide;Minor
Lidocaine;Tetracaine (ophthalmic);Moderate
Lidocaine;Tetracaine (topical);Moderate
Lidocaine;Thallous Chloride;Moderate
Lidocaine;Tilmanocept;Moderate
Lidocaine;Timolol;Moderate
Lidocaine;Tobramycin;Minor
Lidocaine;Tocainide;Moderate
Lidocaine;Tocilizumab;Moderate
Lidocaine;Tofacitinib;Moderate
Tramadol;Lidocaine;Major
Lidocaine;Triazolam;Moderate
Troglitazone;Lidocaine;Minor
Lidocaine;Tubocurarine;Moderate
Lidocaine;Tucatinib;Moderate
Lidocaine;Ustekinumab;Moderate
Lidocaine;Vecuronium;Moderate
Lidocaine;Vemurafenib;Minor
Lidocaine;Voriconazole;Moderate
Phenylephrine;Acebutolol;Moderate
Phenylephrine;Acetohexamide;Moderate
Chlorpheniramine;Acetylcholine;Moderate
Chlorpheniramine;Aclidinium;Moderate
Chlorpheniramine;Acrivastine;Moderate
Phenylephrine;Albiglutide;Moderate
Phenylephrine;Salbutamol;Moderate
Alfentanil;Chlorpheniramine;Moderate
Phenylephrine;Alogliptin;Moderate
Alprazolam;Chlorpheniramine;Moderate
Amantadine;Chlorpheniramine;Moderate
Amitriptyline;Phenylephrine;Major
Chlorpheniramine;Amobarbital;Moderate
Phenylephrine;Amoxapine;Major
Amphetamine;Phenylephrine;Moderate
Apomorphine;Chlorpheniramine;Moderate
Apraclonidine;Chlorpheniramine;Moderate
Phenylephrine;Arformoterol;Moderate
Chlorpheniramine;Aripiprazole;Moderate
Chlorpheniramine;Asenapine;Moderate
Atenolol;Phenylephrine;Moderate
Atomoxetine;Phenylephrine;Moderate
Atropine;Chlorpheniramine;Moderate
Phenylephrine;Atropine (ophthalmic);Moderate
Azatadine;Chlorpheniramine;Moderate
Azelastine (nasal);Chlorpheniramine;Moderate
Baclofen;Chlorpheniramine;Moderate
Chlorpheniramine;Belladonna;Moderate
Phenylephrine;Benzphetamine;Moderate
Benzatropine;Chlorpheniramine;Moderate
Betaxolol;Phenylephrine;Moderate
Betaxolol (ophthalmic);Phenylephrine;Moderate
Biperiden;Chlorpheniramine;Moderate
Phenylephrine;Bisoprolol;Moderate
Chlorpheniramine;Brexanolone;Moderate
Chlorpheniramine;Brexpiprazole;Moderate
Brimonidine (ophthalmic);Chlorpheniramine;Moderate
Brimonidine (topical);Chlorpheniramine;Moderate
Chlorpheniramine;Brivaracetam;Moderate
Chlorpheniramine;Bromocriptine;Moderate
Brompheniramine;Chlorpheniramine;Moderate
Buprenorphine;Chlorpheniramine;Moderate
Chlorpheniramine;Bupropion;Moderate
Buspirone;Chlorpheniramine;Moderate
Butabarbital;Chlorpheniramine;Moderate
Butalbital;Chlorpheniramine;Moderate
Butorphanol;Chlorpheniramine;Moderate
Phenylephrine;Canagliflozin;Moderate
Chlorpheniramine;Candida albicans;Moderate
Chlorpheniramine;Cannabidiol;Moderate
Carbamoylcholine (ophthalmic);Chlorpheniramine;Moderate
Carbamazepine;Chlorpheniramine;Moderate
Chlorpheniramine;Pentoxyverine;Moderate
Carbinoxamine;Chlorpheniramine;Moderate
Chlorpheniramine;Cariprazine;Moderate
Carisoprodol;Chlorpheniramine;Moderate
Phenylephrine;Carteolol;Moderate
Phenylephrine;Carteolol (ophthalmic);Moderate
Phenylephrine;Carvedilol;Moderate
Chlorpheniramine;Cenobamate;Moderate
Cetirizine;Chlorpheniramine;Moderate
Chlorpheniramine;Clofedanol;Moderate
Chlorpheniramine;Chloral hydrate;Moderate
Chlorpheniramine;Chlorcyclizine;Moderate
Chlordiazepoxide;Chlorpheniramine;Moderate
Chlorpheniramine;Chlormezanone;Moderate
Chlorphenesin;Chlorpheniramine;Moderate
Chlorpromazine;Chlorpheniramine;Moderate
Phenylephrine;Chlorpropamide;Moderate
Chlorzoxazone;Chlorpheniramine;Moderate
Citalopram;Chlorpheniramine;Moderate
Clemastine;Chlorpheniramine;Moderate
Phenylephrine;Clidinium;Moderate
Clobazam;Chlorpheniramine;Moderate
Phenylephrine;Clomipramine;Major
Clonazepam;Chlorpheniramine;Moderate
Clonidine;Chlorpheniramine;Moderate
Clorazepic acid;Chlorpheniramine;Moderate
Clozapine;Chlorpheniramine;Moderate
Chlorpheniramine;Cobicistat;Moderate
Phenylephrine;Cocaine (nasal);Major
Phenylephrine;Cocaine (topical);Major
Chlorpheniramine;Coccidioides immitis spherule;Moderate
Codeine;Chlorpheniramine;Moderate
Phenylephrine;Colchicine;Minor
Chlorpheniramine;Cyclizine;Moderate
Cyclobenzaprine;Chlorpheniramine;Moderate
Phenylephrine;Cyclopentolate (ophthalmic);Moderate
Cyproheptadine;Chlorpheniramine;Moderate
Chlorpheniramine;Dacomitinib;Moderate
Chlorpheniramine;Dantrolene;Moderate
Phenylephrine;Dapagliflozin;Moderate
Darifenacin;Chlorpheniramine;Moderate
Demecarium (ophthalmic);Chlorpheniramine;Moderate
Phenylephrine;Deserpidine;Moderate
Phenylephrine;Desipramine;Major
Chlorpheniramine;Desvenlafaxine;Moderate
Chlorpheniramine;Deutetrabenazine;Moderate
Dexbrompheniramine;Chlorpheniramine;Moderate
Dexmedetomidine;Chlorpheniramine;Moderate
Phenylephrine;Dexmethylphenidate;Moderate
Phenylephrine;Dextroamphetamine;Moderate
Dextromethorphan;Chlorpheniramine;Moderate
Chlorpheniramine;Dezocine;Moderate
Diazepam;Chlorpheniramine;Moderate
Dicyclomine;Chlorpheniramine;Moderate
Phenylephrine;Diethylpropion;Moderate
Phenylephrine;Digitoxin;Moderate
Phenylephrine;Digoxin;Moderate
Dihydroergotamine;Phenylephrine;Major
Dimenhydrinate;Chlorpheniramine;Moderate
Diphenhydramine;Chlorpheniramine;Moderate
Disopyramide;Chlorpheniramine;Moderate
Valproic acid;Chlorpheniramine;Moderate
Donepezil;Chlorpheniramine;Moderate
Phenylephrine;Doxapram;Moderate
Phenylephrine;Doxepin;Major
Chlorpheniramine;Doxepin (topical);Moderate
Doxylamine;Chlorpheniramine;Moderate
Dronabinol;Chlorpheniramine;Moderate
Chlorpheniramine;Dronedarone;Moderate
Droperidol;Chlorpheniramine;Moderate
Phenylephrine;Droxidopa;Moderate
Phenylephrine;Dulaglutide;Moderate
Duloxetine;Chlorpheniramine;Moderate
Echothiophate (ophthalmic);Chlorpheniramine;Moderate
Chlorpheniramine;Eliglustat;Moderate
Chlorpheniramine;Eluxadoline;Moderate
Phenylephrine;Empagliflozin;Moderate
Entacapone;Chlorpheniramine;Moderate
Phenylephrine;Epoprostenol;Moderate
Phenylephrine;Ergometrine;Major
Phenylephrine;Ergotamine;Major
Phenylephrine;Ertugliflozin;Moderate
Chlorpheniramine;Escitalopram;Moderate
Chlorpheniramine;Esketamine;Moderate
Chlorpheniramine;Eslicarbazepine;Moderate
Esmolol;Phenylephrine;Moderate
Chlorpheniramine;Estazolam;Moderate
Eszopiclone;Chlorpheniramine;Moderate
Ethanol;Chlorpheniramine;Moderate
Ethchlorvynol;Chlorpheniramine;Moderate
Ethosuximide;Chlorpheniramine;Moderate
Ethotoin;Chlorpheniramine;Moderate
Phenylephrine;Exenatide;Moderate
Chlorpheniramine;Ezogabine;Moderate
Chlorpheniramine;Fedratinib;Moderate
Felbamate;Chlorpheniramine;Moderate
Chlorpheniramine;Fesoterodine;Moderate
Phenylephrine;Flavoxate;Moderate
Chlorpheniramine;Flibanserin;Moderate
Fluoxetine;Chlorpheniramine;Moderate
Fluphenazine;Chlorpheniramine;Moderate
Flurazepam;Chlorpheniramine;Moderate
Fluvoxamine;Chlorpheniramine;Moderate
Phenylephrine;Formoterol;Moderate
Chlorpheniramine;Fosphenytoin;Moderate
Gabapentin;Chlorpheniramine;Moderate
Galantamine;Chlorpheniramine;Moderate
Chlorpheniramine;Givosiran;Moderate
Glimepiride;Phenylephrine;Moderate
Phenylephrine;Glipizide;Moderate
Phenylephrine;Glyburide;Moderate
Chlorpheniramine;Glycerol phenylbutyrate;Moderate
Glycopyrronium;Chlorpheniramine;Moderate
Glycopyrronium (topical);Chlorpheniramine;Moderate
Guanadrel;Phenylephrine;Moderate
Phenylephrine;Guanethidine;Moderate
Guanfacine;Chlorpheniramine;Moderate
Halazepam;Chlorpheniramine;Moderate
Haloperidol;Chlorpheniramine;Moderate
Phenylephrine;Halothane;Major
Chlorpheniramine;Diamorphine;Moderate
Chlorpheniramine;Histamine;Moderate
Phenylephrine;Homatropine (ophthalmic);Moderate
Chlorpheniramine;Hyaluronidase;Minor
Hydrocodone;Chlorpheniramine;Moderate
Hydromorphone;Chlorpheniramine;Moderate
Hydroxyzine;Chlorpheniramine;Moderate
Phenylephrine;Hyoscyamine;Moderate
Chlorpheniramine;Ifosfamide;Moderate
Chlorpheniramine;Iloperidone;Moderate
Phenylephrine;Iloprost;Moderate
Phenylephrine;Imipramine;Major
Phenylephrine;Indacaterol;Moderate
Insulin human;Phenylephrine;Moderate
Phenylephrine;Insulin aspart (aspart);Moderate
Phenylephrine;Insulin aspart (aspart protamine);Moderate
Phenylephrine;Insulin degludec;Moderate
Phenylephrine;Insulin detemir;Moderate
Insulin glargine;Phenylephrine;Moderate
Phenylephrine;Insulin glulisine;Moderate
Insulin human (inhalation/ rapid acting);Phenylephrine;Moderate
Insulin human (isophane);Phenylephrine;Moderate
Insulin lispro;Phenylephrine;Moderate
Insulin lispro (protamine);Phenylephrine;Moderate
Insulin human (regular);Phenylephrine;Moderate
Insulin human (zinc);Phenylephrine;Moderate
Insulin human (zinc extended);Phenylephrine;Moderate
Phenylephrine;Iobenguane (I-123);Moderate
Phenylephrine;Iobenguane (I-131);Major
Ipratropium;Chlorpheniramine;Moderate
Ipratropium (nasal);Chlorpheniramine;Minor
Phenylephrine;Isocarboxazid;Major
Isoetharine;Phenylephrine;Moderate
Isoflurophate (ophthalmic);Chlorpheniramine;Moderate
Phenylephrine;Isoprenaline;Moderate
Chlorpheniramine;Kava;Moderate
Chlorpheniramine;Ketamine;Moderate
Phenylephrine;Labetalol;Moderate
Lamotrigine;Chlorpheniramine;Moderate
Chlorpheniramine;Lasmiditan;Moderate
Chlorpheniramine;Lemborexant;Moderate
Phenylephrine;Levosalbutamol;Moderate
Chlorpheniramine;Levetiracetam;Moderate
Phenylephrine;Levobetaxolol (ophthalmic);Moderate
Phenylephrine;Levobunolol (ophthalmic);Moderate
Chlorpheniramine;Levocetirizine;Moderate
Phenylephrine;Levodopa;Moderate
Chlorpheniramine;Levacetylmethadol;Moderate
Phenylephrine;Levomilnacipran;Moderate
Levorphanol;Chlorpheniramine;Moderate
Phenylephrine;Levothyroxine;Moderate
Phenylephrine;Linagliptin;Moderate
Phenylephrine;Linezolid;Major
Liothyronine;Phenylephrine;Moderate
Phenylephrine;Liraglutide;Moderate
Phenylephrine;Lisdexamfetamine;Moderate
Chlorpheniramine;Lithium carbonate;Moderate
Phenylephrine;Lixisenatide;Moderate
Chlorpheniramine;Lofexidine;Moderate
Loperamide;Chlorpheniramine;Moderate
Lorazepam;Chlorpheniramine;Moderate
Chlorpheniramine;Lorcaserin;Moderate
Loxapine;Chlorpheniramine;Moderate
Chlorpheniramine;Lumateperone;Moderate
Chlorpheniramine;Lurasidone;Moderate
Maprotiline;Chlorpheniramine;Moderate
Phenylephrine;Mazindol;Moderate
Phenylephrine;Mecamylamine;Moderate
Meclizine;Chlorpheniramine;Moderate
Memantine;Chlorpheniramine;Moderate
Chlorpheniramine;Mepenzolate;Moderate
Meperidine;Chlorpheniramine;Moderate
Mephenytoin;Chlorpheniramine;Moderate
Methylphenobarbital;Chlorpheniramine;Moderate
Meprobamate;Chlorpheniramine;Moderate
Mesoridazine;Chlorpheniramine;Moderate
Phenylephrine;Orciprenaline;Moderate
Metaxalone;Chlorpheniramine;Moderate
Metformin;Phenylephrine;Moderate
Methadone;Chlorpheniramine;Moderate
Phenylephrine;Metamfetamine;Moderate
Methdilazine;Chlorpheniramine;Moderate
Methocarbamol;Chlorpheniramine;Moderate
Chlorpheniramine;Methotrimeprazine;Moderate
Chlorpheniramine;Methscopolamine;Moderate
Chlorpheniramine;Methsuximide;Moderate
Methyldopa;Chlorpheniramine;Moderate
Phenylephrine;Methylene blue;Major
Methylergometrine;Phenylephrine;Major
Phenylephrine;Methylphenidate;Moderate
Methysergide;Phenylephrine;Major
Phenylephrine;Metipranolol (ophthalmic);Moderate
Chlorpheniramine;Metoclopramide;Moderate
Metoprolol;Phenylephrine;Moderate
Metyrosine;Chlorpheniramine;Moderate
Midazolam;Chlorpheniramine;Moderate
Midodrine;Phenylephrine;Moderate
Phenylephrine;Miglitol;Moderate
Phenylephrine;Milnacipran;Moderate
Chlorpheniramine;Mirabegron;Moderate
Mirtazapine;Chlorpheniramine;Moderate
Chlorpheniramine;Molindone;Moderate
Morphine;Chlorpheniramine;Moderate
Morphine (liposomal);Chlorpheniramine;Moderate
Nabilone;Chlorpheniramine;Moderate
Phenylephrine;Nadolol;Moderate
